latitude,longitude,Altitude,track_seg_point_id,time
-2.451267,54.158096,215.6,131,2021/09/11 09:14:11+00
-2.451042,54.158181,216.8,132,2021/09/11 09:14:16+00
-2.450904,54.158236,217.2,133,2021/09/11 09:14:19+00
-2.450536,54.158388,217.6,134,2021/09/11 09:14:27+00
-2.450448,54.158437,217.8,135,2021/09/11 09:14:29+00
-2.450213,54.158609,218.4,136,2021/09/11 09:14:35+00
-2.450066,54.158768,218.8,137,2021/09/11 09:14:40+00
-2.449985,54.158853,219.4,138,2021/09/11 09:14:43+00
-2.449888,54.158993,220,139,2021/09/11 09:14:47+00
-2.449806,54.159102,220.6,140,2021/09/11 09:14:52+00
-2.449741,54.159173,221.4,141,2021/09/11 09:14:55+00
-2.449673,54.159258,222,142,2021/09/11 09:14:58+00
-2.449654,54.159287,222.4,143,2021/09/11 09:14:59+00
-2.449573,54.159401,223.4,144,2021/09/11 09:15:03+00
-2.449537,54.159463,223.8,145,2021/09/11 09:15:05+00
-2.449497,54.159523,224.4,146,2021/09/11 09:15:07+00
-2.44948,54.159554,224.6,147,2021/09/11 09:15:08+00
-2.449382,54.159748,225.6,148,2021/09/11 09:15:14+00
-2.449341,54.159814,226,149,2021/09/11 09:15:16+00
-2.449235,54.15994,226.6,150,2021/09/11 09:15:20+00
-2.449207,54.159968,226.8,151,2021/09/11 09:15:21+00
-2.44913,54.160049,227.6,152,2021/09/11 09:15:24+00
-2.449109,54.160078,227.8,153,2021/09/11 09:15:25+00
-2.449037,54.160155,228.4,154,2021/09/11 09:15:28+00
-2.448981,54.160208,228.6,155,2021/09/11 09:15:30+00
-2.448925,54.160263,228.8,156,2021/09/11 09:15:32+00
-2.448895,54.16029,229,157,2021/09/11 09:15:33+00
-2.448862,54.160314,229.2,158,2021/09/11 09:15:34+00
-2.448802,54.160362,229.6,159,2021/09/11 09:15:36+00
-2.448734,54.160417,229.8,160,2021/09/11 09:15:38+00
-2.448699,54.160477,230,161,2021/09/11 09:15:40+00
-2.448573,54.160613,231.2,162,2021/09/11 09:15:45+00
